player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Matches,league,season,temp_id,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Passes Att (GK),Passes Thr,Passes AvgLen,Goal Kicks Att,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Launched Cmp%,Passes Launch%,Goal Kicks Launch%,Crosses Stp%
1.0,19,David Raya,es ESP,GK,Arsenal,30-018,1995,Matches,premier_league,current,1995_davidraya,44.0,37,3,3,9,0,38.300000000000004,0.46,1.3,0.07,185,574,1472,207,65.1,163,112.5,448,59,76,3.41,35.9,34.35,34.35,80.9,13.1
2.0,3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,Matches,premier_league,2024-2025,1994_kepaarrizabalaga,31.0,39,4,0,4,0,41.0,0.28,2.0,0.07,132,365,831,122,32.9,192,38.7,367,22,54,1.74,16.0,36.2,33.2,46.4,6.0
26.0,6,Gianluigi Donnarumma,it ITA,GK,Manchester City,26-220,1999,Matches,premier_league,current,1999_gianluigidonnarumma,3.0,2,0,0,0,0,2.0,0.28,0.0,0.0,11,36,69,7,32.8,12,53.0,46,0,0,0.0,4.6,30.6,37.7,83.3,0.0
27.0,24,James Trafford,eng ENG,GK,Manchester City,22-358,2002,Matches,premier_league,current,2002_jamestrafford,3.0,4,1,0,0,0,5.9,0.34,1.9,0.62,10,36,103,11,29.6,15,44.9,26,2,14,4.67,18.1,27.8,27.2,53.3,7.7
28.0,28,Stefan Ortega,de GER,GK,Manchester City,31,1992,Matches,premier_league,2024-2025,1992_stefanortega,12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,409,55,26.7,49,28.2,133,6,12,0.98,14.3,38.5,21.5,32.7,4.5
53.0,1,Alisson,br BRA,GK,Liverpool,33-001,1992,Matches,premier_league,current,1992_alisson,33.9,36,1,0,3,2,37.0,0.7,3.0,0.04000000000000001,90,263,1116,155,56.1,95,65.9,331,14,57,3.09,30.4,35.1,21.35,35.4,4.1
78.0,22,Robert Sánchez,es ESP,GK,Chelsea,27-319,1997,Matches,premier_league,current,1997_robertsánchez,37.0,40,4,0,5,0,40.6,0.54,0.5999999999999999,-0.18,111,492,1330,212,67.9,102,89.3,433,56,61,2.5700000000000003,26.3,21.1,33.4,50.65,13.5
79.0,11,Filip Jørgensen,dk DEN,GK,Chelsea,23-170,2002,Matches,premier_league,current,2002_filipjørgensen,6.9,11,1,0,2,0,11.100000000000001,0.8899999999999999,0.09999999999999998,-0.19,10,43,202,20,50.1,22,73.3,73,2,3,1.4100000000000001,29.5,25.6,20.35,43.05,1.9
109.0,26,Guglielmo Vicario,it ITA,GK,Tottenham,28-361,1996,Matches,premier_league,current,1996_guglielmovicario,30.0,41,1,0,7,2,43.199999999999996,0.61,4.2,0.4,51,157,1053,152,50.900000000000006,94,55.400000000000006,373,33,43,3.29,29.6,33.3,15.9,24.95,7.25
110.0,19,Antonín Kinský,cz CZE,GK,Tottenham,21,2003,Matches,premier_league,2024-2025,2003_antonínkinský,6.0,11,0,0,1,2,10.5,0.33,1.5,0.25,17,58,186,37,30.7,30,29.1,112,10,9,1.5,12.1,29.3,26.9,26.7,8.9
111.0,4,Brandon Austin,eng ENG,GK,Tottenham,25,1999,Matches,premier_league,2024-2025,1999_brandonaustin,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,26,5,32.3,6,29.0,15,5,2,2.0,12.4,27.3,38.5,16.7,33.3
139.0,3,Altay Bayındır,tr TUR,GK,Manchester Utd,27-172,1998,Matches,premier_league,current,1998_altaybayındır,10.0,21,0,0,2,1,19.5,1.02,-0.5,0.010000000000000009,41,157,304,27,71.6,40,102.9,119,10,14,2.92,25.0,25.25,41.05,71.9,8.3
164.0,32,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,Matches,premier_league,2024-2025,1998_aaronramsdale,30.0,66,5,0,10,0,63.5,0.32,-2.5,-0.08,196,605,1026,129,36.0,190,55.9,457,25,20,0.67,11.7,32.4,44.6,77.4,5.5
165.0,18,Nick Pope,eng ENG,GK,Newcastle Utd,33-167,1992,Matches,premier_league,current,1992_nickpope,34.0,40,1,0,5,2,40.699999999999996,0.5800000000000001,2.7,0.21,87,328,738,236,64.7,222,92.7,431,54,86,5.96,34.4,24.55,29.65,60.65,15.85
193.0,23,Matz Sels,be BEL,GK,Nott'ham Forest,33-219,1992,Matches,premier_league,current,1992_matzsels,44.0,56,5,1,6,0,59.3,0.6,3.3000000000000003,0.11,261,753,836,104,79.2,307,80.4,794,23,17,1.15,22.2,32.95,53.6,49.5,3.75
220.0,14,Emiliano Martínez,ar ARG,GK,Aston Villa,33-031,1992,Matches,premier_league,current,1992_emilianomartínez,39.5,48,1,1,3,0,48.8,0.63,0.8,0.03,176,460,1340,148,59.2,185,95.19999999999999,556,59,37,1.49,26.1,36.8,25.25,60.4,8.2
221.0,4,Marco Bizot,nl NED,GK,Aston Villa,34-207,1991,Matches,premier_league,current,1991_marcobizot,2.0,3,1,0,0,0,3.1,0.33,0.1,0.05,7,27,53,8,32.2,14,53.5,28,4,10,5.0,18.4,25.9,30.2,78.6,14.3
